,country,iso_code,SE.XPD.TOTL.GB.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.PP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.PP.CD,IT.NET.USER.P2,SP.POP.GROW,SP.POP.TOTL,Oxford/AstraZeneca,Pfizer/BioNTech,Sinovac,Sputnik V,Sinopharm/Beijing,Johnson&Johnson,Moderna,Sinopharm/Wuhan,Covaxin,CanSino,EpiVacCorona,january_total_vaccinations,february_total_vaccinations,march_total_vaccinations,april_total_vaccinations,may_total_vaccinations,january_daily_vaccinations,february_daily_vaccinations,march_daily_vaccinations,april_daily_vaccinations,may_daily_vaccinations,religiousity%,population,urban_population_percent,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16
0,Afghanistan,AFG,14.091753323872885,12218642235.017456,41653928956.30874,414.75560961019977,1422.9709411878032,3.564657990625,3.4066417133814286,27818786.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.02098567139304934,0.1381983238078859,0.6142147724794929,0.0,0.0,0.0029986842642123817,0.0070910435036765545,0.014657397979624261,0.0,97,39074280,25,10.2,5.1,77.4,57.2,162.8,17.5,0.3,0.3,0.0,42.3,0.0
1,Albania,ALB,10.917203783988944,10042292218.498041,24293049872.12726,3420.0316272758228,8274.10225800961,30.964406368312495,-0.44637873205691414,2955389.9375,1,1,1,1,0,0,0,0,0,0,0,0.01908079238464375,0.35224741496969836,4.825667940688973,16.575022095835624,19.88802459580174,0.0011706298358189285,0.01179702386310527,0.0881109039020596,0.3927642669471207,0.5517326390566326,39,2877239,63,6.7,41.4,58.0,271.5,759.7,0.7,1.2,3.6,11.6,98.4,53.0
2,Algeria,DZA,11.4294099807739,140430122251.80008,432667929503.7899,3871.858149808586,12018.055901931675,14.493389665625,1.65014299912239,35559200.5625,0,0,0,1,0,0,0,0,0,0,0,6.820573824424652e-05,0.17051434561061632,0.0,0.0,0.0,0.0014542979076745453,0.008035234261121751,0.0,0.0,0.0,90,43984569,73,6.6,67.7,30.9,260.4,998.2,0.0,1.8,2.2,12.1,100.0,0.0
3,Angola,AGO,8.04396994908651,68586077546.140656,116463048009.81738,2850.2695506347277,4964.238398400474,4.1678283826875,3.5066821922727187,22438875.9375,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3958273889847974,1.3815329494135624,0.0,0.0,0.0,0.012072234872981352,0.037932432537820866,0.0,88,33032075,67,2.9,44.1,35.2,95.2,185.8,3.6,0.2,1.3,0.0,25.0,0.0
4,Argentina,ARG,15.7948430606297,361270657893.2309,675257880085.0704,8731.126257943837,16461.751899234663,36.8696364146875,1.0515415192873956,40626218.37500001,1,0,0,1,1,0,0,0,0,0,0,0.8093762915599684,2.2643268455441348,8.597639332404174,17.37498616279437,18.9784518230749,0.024084670927739395,0.0413316547046548,0.19673753764239957,0.27953684776891224,0.27151739873832964,72,45267449,93,7.5,74.4,15.8,955.2,1531.0,0.6,4.0,2.6,50.1,100.0,100.0
5,Armenia,ARM,12.448629812760785,7847375685.747872,18095556254.065804,2690.3338850252053,6187.0280653543605,22.7254333503125,-0.30194861197856787,2940556.125,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.01906066994375247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,2964219,63,9.9,16.5,80.6,358.8,876.9,1.7,2.9,5.6,86.7,99.3,76.0
6,Australia,AUS,13.47675685882568,986232973189.679,829582099834.1741,44709.854813063124,37970.06967923459,74.7538183623077,1.442992338301964,21596435.75,1,1,0,0,0,0,0,0,0,0,0,0.0,0.12482640875001268,2.6236050128288153,8.530276861874885,9.680872327365964,0.0,0.004560683228255442,0.06460429535162493,0.19345536346980105,0.19005819400861676,34,25550683,86,9.3,68.3,18.9,5002.4,4529.9,0.0,3.6,12.7,45.1,100.0,100.0
7,Austria,AUT,10.430610043661945,357606562407.3259,341054541493.8269,42733.456710928775,40738.443459568094,67.11459596125,0.5491591520559083,8341308.125,1,1,0,0,0,1,1,0,0,0,0,2.8654315672994124,7.6973401286981185,18.762288054798915,34.92094215639285,38.35745457114806,0.08443903545257635,0.1571456761409776,0.34240233365710926,0.5066131017937052,0.5713378162745414,39,9015361,57,10.4,72.5,18.9,4688.3,5295.2,0.0,5.1,8.2,109.9,100.0,100.0
8,Azerbaijan,AZE,9.938402175903324,38574524444.88666,110391359625.54803,4218.523966793209,12153.200194819347,38.41056057228572,1.2064200114221135,8867424.125,1,0,1,0,0,0,0,0,0,0,0,0.0,0.6400801656094184,5.026303355851682,14.655058829275653,15.695582993877485,0.029870407728439526,0.07663342198138827,0.12060317419153063,0.26646176223457435,0.14482388177830946,34,10154978,56,6.9,20.0,78.9,268.2,1193.1,0.4,3.4,7.0,67.6,0.0,0.0
9,Bahrain,BHR,9.471032823835094,22634848986.03724,43638899629.3165,19911.230587265316,40098.482264437385,53.46825550625,4.767754153139162,1093283.125,1,1,0,1,1,0,0,0,0,0,0,5.714362525620128,5.714362525620128,44.78617603037187,72.18754255410545,78.00196019185802,0.31388822532580174,0.4507155518489448,0.5640203498433631,0.9102989165956094,0.7776284873424244,94,1711057,89,4.9,61.4,28.0,1099.4,1866.3,0.0,0.9,2.5,14.4,0.0,88.0
10,Bangladesh,BGD,16.4053955078125,110350520584.82602,347591530792.5702,723.0046199588525,2288.827521087897,4.72820109925,1.3364281274305474,149321888.9375,1,0,0,0,0,0,0,0,0,0,0,0.0003436939625785044,1.8854826507045896,3.2553522242406348,5.228361058424167,5.536247808026591,0.0005191779170167354,0.05974351878309068,0.04895938779564635,0.06270715542380875,0.05026115043231367,93,164972348,39,2.4,18.0,71.9,34.2,90.6,7.6,0.5,0.3,2.9,20.2,0.0
11,Belarus,BLR,12.216439160433685,45825412265.66007,129768484791.3908,4806.67508350326,13585.61716274151,36.118732981307694,-0.30314387392458997,9596939.25,0,0,0,1,0,0,0,0,0,0,0,0.0,0.22165843349802494,0.7050439993683835,3.476642255734396,0.0,0.004265104502468681,0.004401932562544333,0.017074415391176347,0.09630052869626178,0.0,34,9448772,79,6.3,61.4,35.8,318.0,1151.4,0.2,4.1,11.4,124.2,100.0,100.0
12,Belgium,BEL,11.906219335702746,433897923973.87445,412534098310.14343,40027.07189287344,38047.656725173074,67.09362387875,0.635349242246778,10791323.1875,1,1,0,0,0,1,1,0,0,0,0,2.9004562764458806,7.367501056822157,16.831670022143474,33.593528997967056,36.20819711183847,0.08445705100982324,0.15571106373231586,0.2828770396901248,0.5262102097369151,0.5718867114237927,44,11598451,98,10.0,84.1,15.9,4149.4,4667.9,0.0,3.3,11.1,89.8,100.0,100.0
13,Belize,BLZ,19.955943822860718,1340110759.375,2343142784.4031954,4270.713285930975,7460.978392330626,27.35357082385714,2.466085448978701,310284.5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.532725745590392,10.555478945455002,11.550100916396094,0.0,0.0,0.17457667078204445,0.17021650014416628,0.14266193634118518,62,398845,46,6.1,66.3,22.9,303.6,541.4,3.8,1.1,1.7,10.5,96.0,100.0
14,Bolivia,BOL,19.575361078435716,18887346659.774742,50664193000.00198,1888.0596867090783,5143.487461581037,18.6877163290625,1.6665357887612262,9684204.375,1,0,0,1,1,0,0,0,0,0,0,0.0005726394413363798,0.08689589850846229,2.599825797953831,6.513081349757316,7.508952619385282,0.00011538257400061383,0.005268221811313741,0.06988985805564063,0.13053615205269445,0.23776217520482043,89,11700207,69,6.9,65.7,28.0,213.0,496.3,3.2,1.6,0.7,33.9,92.0,0.0
15,Botswana,BWA,24.269573211669936,11496852754.16457,25568431806.908295,5717.157296555701,12706.184367033322,13.319948172875,1.6492772175581039,1978834.4375,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.114015812102552,0.0,0.0,0.0,0.05877546868865258,0.062022205882249076,0.0,77,2359585,73,5.5,55.9,5.2,379.9,931.3,6.7,0.4,3.3,3.6,88.0,0.0
16,Brazil,BRA,13.141788323720293,1554566978528.5208,2536309019549.0156,7891.742673726227,12996.14613407155,34.849500420312495,1.0589986741029356,193514650.68749997,1,0,1,0,0,0,0,0,0,0,0,0.9745510973664159,3.9627334367606175,9.00094081445138,20.063181818066486,21.8691653408403,0.04200068290876677,0.10705964574812035,0.1510169585216542,0.349787576301758,0.3386078729666586,79,212821986,88,11.8,33.2,43.6,1015.9,1777.5,0.1,2.1,9.7,55.5,96.0,93.0
17,Bulgaria,BGR,10.898109949552097,41919362737.987816,99300453465.99306,5658.827984925852,13373.457026374828,36.460976633062494,-0.8530265210426349,7495344.1875,1,1,0,0,0,0,1,0,0,0,0,0.5926631116967848,3.061600359013336,6.808499415911588,11.751850189753075,12.74321525034234,0.01593281131654782,0.07451754288986878,0.1215552681299266,0.15311004141123907,0.1978065676344021,52,6939018,76,8.2,50.6,48.0,612.5,1577.9,0.0,4.0,5.3,112.7,100.0,100.0
18,Cambodia,KHM,9.534638977050783,10601819087.825806,33731151603.90042,733.7210195629757,2347.00222880574,4.8657069648124995,1.6256409872370874,14033923.875,1,0,1,0,1,0,0,0,0,0,0,0.0,0.07817549691952382,3.8533699540673454,13.633649130277458,16.031860468224743,0.0,0.008849566499236683,0.10894919116846082,0.3055278945480711,0.3456415932231115,96,16758448,24,6.1,21.8,58.6,77.7,228.6,18.9,0.2,1.0,4.2,73.3,0.0
19,Cameroon,CMR,18.27273511886596,23814601865.374245,55644789669.25234,1204.1295802032332,2827.4953931098735,6.5311274899375,2.6765125539588253,19314229.125,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.04126792627132319,0.0,0.0,0.0,0.0,0.0021028871521033103,0.0,96,26655083,56,4.7,13.3,69.5,64.5,169.3,9.3,0.1,0.9,1.2,66.0,0.0
20,Canada,CAN,12.239433765411375,1389026405603.406,1308517502943.7444,41053.51186430419,38791.97817649245,76.483703920625,1.0307079053463502,33543332.874999996,1,1,0,0,0,0,1,0,0,0,0,2.5323915795821876,4.992297895043698,15.054151510895398,35.503726288616114,39.483936877634086,0.0719863656983791,0.07656450422999644,0.29130257297764045,0.6573531695880838,0.6688094339681043,40,37799407,81,10.5,73.4,14.6,4458.2,4718.3,0.0,2.6,9.9,43.9,100.0,100.0
21,Chile,CHL,17.787135124206536,180361856289.66742,290362126117.2301,10619.499886426609,17150.13662613952,42.31208715625,0.9995624952494919,16718595.1875,0,1,1,0,0,0,0,0,0,0,0,0.35209919452503724,17.616278842002746,54.73532099513153,77.59499347205127,79.90138736213153,0.009973836560760726,0.5928777697051318,1.1132950274182778,0.8029252453454467,0.5267165345014954,70,19144605,85,8.5,58.5,34.8,1190.5,2002.0,0.0,1.1,0.9,59.3,99.0,100.0
22,Colombia,COL,15.303167215983075,232921010425.27094,468239081206.73804,5077.939692107298,10271.968975601783,29.490820890312495,1.161214582435005,45029662.0625,1,1,1,0,0,0,0,0,0,0,0,0.0,0.25615459184049794,4.400857434623278,9.781949821022529,10.240710536405112,0.0,0.01748346929469322,0.1122096909183678,0.18302040066450817,0.20753979382711732,82,50976248,80,5.9,62.3,20.2,340.4,829.8,2.1,2.1,1.3,22.7,96.8,98.0
